Lkm,d100,d90,d80,d70,d60,d50
10,0.0590780790897572,0.0568738355931382,0.0582688958847882,0.0588455166226094,0.0573186959055795,0.0543335493981421
20,0.171280322060066,0.16793961895923,0.17045009422031,0.168137608521906,0.16798482486774,0.162726069065899
30,0.261940736681399,0.258556988885212,0.256487414312973,0.258870010143122,0.256692662332031,0.253005409506117
40,0.318571966548585,0.315421804324284,0.314786931530757,0.311398722652095,0.308542828869322,0.309123165975058
50,0.336541989126823,0.339051311043812,0.336809139094664,0.337586947872202,0.33951242706659,0.330695972554063
60,0.347556514691672,0.35247189535353,0.357237326613003,0.350919654141044,0.34879383122761,0.351778449639456
70,0.36774312210884,0.372004553158937,0.367284427890791,0.368545134607342,0.368053618253056,0.354564267741916
80,0.373121058957727,0.377100164127222,0.3743886681573,0.374471248302363,0.371375682271631,0.360600035924753
90,0.385384613618165,0.384235428908175,0.383296124617833,0.37836431638621,0.380776948651083,0.373773311498385
100,0.388680450967112,0.379633933592767,0.385806947369391,0.384862254576537,0.393794026151768,0.375960343437501
110,0.390167722743792,0.388429267161029,0.390296050203239,0.391125017594796,0.393107487530078,0.384210313645312
120,0.393681552306744,0.398786823666118,0.388447618676018,0.39883758559507,0.401917491478393,0.383410072964543
130,0.403981765774494,0.396790489172325,0.395834109839837,0.400342265166056,0.395465293481831,0.393244998823985
140,0.404600076953632,0.396317972029357,0.404180891380083,0.400607145731701,0.396577140949497,0.393119892813756
150,0.404554796953954,0.404456102831784,0.403523801211905,0.400441685034527,0.403866552409088,0.397820678099823
160,0.401357852057462,0.407966206126739,0.404182537516454,0.412948834101263,0.400864392946238,0.398247599905939
170,0.404606313938096,0.413801881470462,0.407389655496701,0.4063540030945,0.410504859468306,0.403667016916219
180,0.409543378319226,0.408399980308365,0.409414188297083,0.41138693745104,0.403356589030464,0.400870154699742
190,0.411274530655297,0.407664876729551,0.411011424169969,0.405171891805226,0.413963519687099,0.400047602661384
200,0.402186969650829,0.410153207937263,0.418811277317253,0.414844309502643,0.415452366097041,0.400398180079302
210,0.417305363575251,0.420613144280273,0.416067689006708,0.413340839722542,0.407253984648963,0.408702057570742
220,0.419106075752407,0.409538568907614,0.41002154348126,0.409890258475193,0.409632690674136,0.410140838371375
230,0.417638459016693,0.414451386477073,0.416186249898651,0.419593287149398,0.412593266303431,0.412116190695504
240,0.412692779877438,0.423018643522603,0.413805923078945,0.414728940392329,0.40903704996731,0.409714505982673
250,0.415499960608175,0.413723786971446,0.419369211934307,0.417026672264622,0.410095469007521,0.414422513030593
260,0.414051919508612,0.41558869414245,0.415557451624993,0.416318516500726,0.418756862403489,0.408472665066765
270,0.425041850725277,0.423874175468747,0.416550775596279,0.414781545559896,0.419769765497102,0.412237995584249
280,0.416953486133522,0.419455459246197,0.420003579309725,0.414897658782519,0.41080002723717,0.409930595929444
290,0.41705844614008,0.419649895123113,0.424252715556991,0.421502215191482,0.418863648441876,0.410817308686572
300,0.419688733019998,0.421266899728209,0.424810269214627,0.41217457172645,0.424586653840328,0.403720031624443
310,0.420737194827523,0.41557827396825,0.417559822937852,0.417941439694002,0.422091088783549,0.420403527418005
320,0.43086050661689,0.424919321866821,0.426709999931427,0.425931408409227,0.422158172553441,0.410423133650119
330,0.421017569037178,0.42509711690135,0.422624305450675,0.428164592466915,0.427315601650509,0.413229912447786
340,0.421155233748629,0.421899122227914,0.416672559684202,0.424520785499312,0.421932061148372,0.425099400732977
350,0.427694698789846,0.416970564133288,0.419586421513216,0.42699604144394,0.419559864891092,0.420061205524534
360,0.419725607264467,0.421870596073442,0.424787692813467,0.420688637339797,0.417270044840004,0.414924837242993
