Lkm,G10,G15,G20,G25,G30
68,-0.0530805477075628,-0.192321071058806,-0.210295146271367,-0.17711652035305,-0.183654196253843
69,-0.0551983323009057,-0.195035913423542,-0.208588987626257,-0.181987310624101,-0.181894290206909
70,-0.0563158793519418,-0.197740090723472,-0.20410297898659,-0.182137761463798,-0.180072326996551
71,-0.0581655048176255,-0.202659096191812,-0.201595734701453,-0.185210587281338,-0.17801037385256
72,-0.0593408769512511,-0.202642542525401,-0.198333013985495,-0.191397083107944,-0.175292917579922
73,-0.0604585577687249,-0.206809206528873,-0.196786085339748,-0.191487950391983,-0.178883451102726
74,-0.0621058125402819,-0.208452105803924,-0.193188022269831,-0.191236951877531,-0.174678433355104
75,-0.0635636842363283,-0.21140381607452,-0.191056655716182,-0.195927953119901,-0.176709252359978
76,-0.0654970724831522,-0.21280367871998,-0.187321349969086,-0.19637153912713,-0.176534857377369
77,-0.0667508244362433,-0.214505578797131,-0.188362301677494,-0.196740278451927,-0.181302065785961
78,-0.0682795511962919,-0.217825144186304,-0.184609647450378,-0.201105345279801,-0.178550649456246
79,-0.0701877985280534,-0.221478115307216,-0.18007286198255,-0.200696191478646,-0.18171695004225
80,-0.0717438600820038,-0.220781609631355,-0.17733551690034,-0.201702447926456,-0.187572224071698
81,-0.0731736107298008,-0.223607301219524,-0.179659347216505,-0.198810597268574,-0.182588872824229
82,-0.0752888953223108,-0.224205777989191,-0.176346966217432,-0.202670659782401,-0.186215848286129
83,-0.0767827729395014,-0.226470052997588,-0.175720810222424,-0.206547680855365,-0.187531696003025
84,-0.0785543389898686,-0.226875727358222,-0.174733544392106,-0.201478501533701,-0.192079256603064
85,-0.0801120381450905,-0.230401948481151,-0.168882658499268,-0.200312359112388,-0.192496983392659
86,-0.0812758984128333,-0.231257109537809,-0.172816922889675,-0.204409317974941,-0.195148235658826
87,-0.0831902441688148,-0.231823678941314,-0.167063019989132,-0.199713544471796,-0.19015499764628
88,-0.0851795940900125,-0.231295206801695,-0.168480670940923,-0.199069875206342,-0.197032047424073
89,-0.0873202959364616,-0.231367064043642,-0.166802468125469,-0.193808448200391,-0.192803731978082
90,-0.0878800756517777,-0.233255234418288,-0.167782831869714,-0.19551398447088,-0.19529304408881
91,-0.0900901768032676,-0.235912262501606,-0.166771463601659,-0.193640798257377,-0.201037668017991
92,-0.0912246348580572,-0.235665282296847,-0.166590030474714,-0.194692789252803,-0.19678020400932
93,-0.093768198656278,-0.234958147744165,-0.166567642162829,-0.191554111017315,-0.194519616335419
94,-0.0958075691823558,-0.235593738482608,-0.165226284542675,-0.189116239494013,-0.194820167466017
95,-0.0969462224188185,-0.236241279076515,-0.165502520351176,-0.186396257577283,-0.190612015692956
96,-0.0979392816901602,-0.23339742728726,-0.169305459357489,-0.18622041382949,-0.19365553208669
97,-0.100603121212932,-0.235350968818493,-0.168304809353927,-0.18314672922094,-0.195702020090544
98,-0.101358116460065,-0.23243803070412,-0.170724262699386,-0.185136421357316,-0.19184979803145
99,-0.104436784290752,-0.234950070958418,-0.169697955328759,-0.179483651562977,-0.185968690118943
100,-0.105099870095092,-0.23677982454553,-0.172222535352891,-0.179044279004746,-0.187210897202339
125,-0.149158957795572,-0.205746273375857,-0.200747502546541,-0.195061993240175,-0.192760075171443
150,-0.189963439476472,-0.17476395505542,-0.183701256592571,-0.182181448465475,-0.191503458079248
175,-0.216063988103107,-0.170858376464755,-0.180355386045881,-0.194809324912486,-0.184646851342578
200,-0.231957001833601,-0.189252078646079,-0.196769563966528,-0.183543753999501,-0.191808982353156
225,-0.235563299501435,-0.20356913948954,-0.187997052825633,-0.193814282191557,-0.195024883329855
250,-0.223352309692648,-0.194951990283805,-0.183736279809131,-0.184545414742895,-0.191533261279486
275,-0.209985337826272,-0.18186851725447,-0.193782203696866,-0.197534092672224,-0.194053358004387
300,-0.193832783607749,-0.175550442845002,-0.190956946659639,-0.188793552252466,-0.192559836333849
325,-0.179087752477141,-0.186046194444108,-0.187712219637417,-0.197645614187711,-0.191168126457938
350,-0.16756180274639,-0.19701284675121,-0.197426609561632,-0.189015481285822,-0.193197522225717
375,-0.166067744332269,-0.191727338415578,-0.190770119816095,-0.194038595999566,-0.193403708195691
400,-0.169851065260055,-0.185872745190152,-0.189005743785459,-0.191634065049547,-0.195031419242956
425,-0.178452589259767,-0.179052071648715,-0.196292384061165,-0.191979571021503,-0.199472483012486
450,-0.188911711590056,-0.185939042015931,-0.190015387660435,-0.194285619906071,-0.199114285352759
475,-0.195787858442731,-0.195170145375729,-0.191795705082197,-0.19250361888407,-0.201257274661171
500,-0.199652781192917,-0.198231404715621,-0.195940454702137,-0.196009768359261,-0.195210721846654
525,-0.203577466106546,-0.188739866700636,-0.188151712235582,-0.194956669020766,-0.1941198815668
550,-0.200976735421883,-0.186314474768602,-0.193600098405663,-0.198619553658013,-0.199608731755153
575,-0.190518106701657,-0.187075631447328,-0.195565995467546,-0.195097222373767,-0.195172666176651
600,-0.186124239424171,-0.1952099995827,-0.192043266083195,-0.198025863623944,-0.196431837189559
625,-0.179585043152059,-0.195703034590562,-0.199738822474099,-0.188716432144238,-0.200124259273255
650,-0.175731278907861,-0.193820561212406,-0.199793167470271,-0.198212011897282,-0.199050727732641
675,-0.177943418960736,-0.183184141302042,-0.194134477343141,-0.197375679842156,-0.198771304121532
700,-0.178438234735582,-0.185399212187015,-0.198076052667356,-0.198595221715181,-0.20026214223819
725,-0.185286349301716,-0.194398614130988,-0.199566537377534,-0.198173087542857,-0.200324619155193
750,-0.189978175309121,-0.194870194303099,-0.194550344840698,-0.197224742336623,-0.196151756104467
775,-0.192313383466869,-0.196097295994731,-0.193755593027425,-0.197365398146362,-0.201555986028639
800,-0.196134588779914,-0.189828226522563,-0.196126799598622,-0.196923815598498,-0.199122660276157
825,-0.199401135027968,-0.189337199267099,-0.19482708434745,-0.197864990101286,-0.200880152038346
850,-0.194945835927162,-0.19316278952029,-0.194803783584626,-0.201265170587936,-0.19948829168596
875,-0.189255829574232,-0.192758697577346,-0.197810069570843,-0.198899860765366,-0.202233015097267
900,-0.188308330548911,-0.193767741505093,-0.197744584521711,-0.199454111566267,-0.200344499521458
925,-0.186044088923124,-0.193261091986041,-0.196519407523677,-0.200777023907913,-0.202050198080766
950,-0.180189966946432,-0.191660120492234,-0.200649343818493,-0.196854065820559,-0.201631108931785
975,-0.18473191873511,-0.192359500811631,-0.195914770032521,-0.19845080445049,-0.198129507531191
1000,-0.179606665353033,-0.193344633803378,-0.195957115612269,-0.202200394499456,-0.196563184085376
1000,-0.185540661917657,-0.195763684462095,-0.195966163878459,-0.196382885965212,-0.201501416851555
1100,-0.197720493014831,-0.194873042710683,-0.200221208447658,-0.202307811844483,-0.199788301088512
1200,-0.183231281706043,-0.191537868695147,-0.194243923804595,-0.201328423630023,-0.204167920420537
1300,-0.187371479845783,-0.196129866534491,-0.202492643428197,-0.200906364794962,-0.202770329872415
1400,-0.192286014241653,-0.202835005483857,-0.198973346001577,-0.200543403577024,-0.205202733360731
1500,-0.189382307408357,-0.197659217550535,-0.201110590650545,-0.200489587534651,-0.200185595983078
1600,-0.188438470604251,-0.19538580457442,-0.203862691746671,-0.202838123658259,-0.204297933139775
1700,-0.19560123505379,-0.19724532586967,-0.196257206112261,-0.203857741553149,-0.204214871337985
1800,-0.189402714363988,-0.199160349505243,-0.199239319538116,-0.201045018657275,-0.200792571757466
1900,-0.190341292404947,-0.200352998857331,-0.202475034734911,-0.204068212059406,-0.20595493847999
2000,-0.194062153895925,-0.193650308021345,-0.195247003702007,-0.201874447191771,-0.205800505978774
2100,-0.188892878953003,-0.197956190024901,-0.202141167205724,-0.205038627504176,-0.204924510244257
2200,-0.19054338218665,-0.196538578477449,-0.200015773124268,-0.202203417937462,-0.203563997948934
2300,-0.197372200617326,-0.199401122850519,-0.200682930476918,-0.202443441166413,-0.20564715006719
2400,-0.192574881811642,-0.197352710014334,-0.201656433458624,-0.202324503862424,-0.204650413749184
2500,-0.191679693318827,-0.197051117916394,-0.201462996827362,-0.20210423281865,-0.20173484521727
2600,-0.193339389319854,-0.199063986713397,-0.201455849982128,-0.201040824754746,-0.208029914034788
2700,-0.191695495662749,-0.204393897242206,-0.203352560896771,-0.200622357764043,-0.20418592234543
2800,-0.197216994102877,-0.195768625638453,-0.202305437116831,-0.203651527439148,-0.204609227085074
2900,-0.196683150330586,-0.196976848633432,-0.202011875323471,-0.20351983966872,-0.207407324204656
3000,-0.194813495000768,-0.197172167402137,-0.204435577025246,-0.203394957686727,-0.205246368832125
3100,-0.195837421769488,-0.200539700960068,-0.19792132399519,-0.207883201490286,-0.204160398398652
3200,-0.198877328000087,-0.198246737590395,-0.20237032731659,-0.202993184199321,-0.205594718483517
3300,-0.192824243638356,-0.200647665721131,-0.199672838168763,-0.201555114908835,-0.205331648689341
3400,-0.196053599422144,-0.205615834584817,-0.202583478457086,-0.206052000185962,-0.204330982303891
3500,-0.195718462084307,-0.197649801347113,-0.201123559757067,-0.20561343023296,-0.20593574971228
3600,-0.203175896123038,-0.201834972942046,-0.201909972614082,-0.200975879918385,-0.20616462419536
3700,-0.194531861984909,-0.202610908469001,-0.204627882618022,-0.207249409921796,-0.206545810585943
3800,-0.198154454232774,-0.200602342294216,-0.204663913696168,-0.205833420131491,-0.206755349174472
3900,-0.19380240027488,-0.203837889263633,-0.205619183584327,-0.20309047326674,-0.206589506846814
4000,-0.192112259674865,-0.203499736134153,-0.204842751138769,-0.204653687155205,-0.205375512888775
4100,-0.198067634791766,-0.199600445322449,-0.202215018113518,-0.206228299204814,-0.206136756178517
4200,-0.19688918799582,-0.198129812776135,-0.204429599604155,-0.205062545251006,-0.207028778597874
4300,-0.199149452197472,-0.200601077504965,-0.208623817144736,-0.206497843788419,-0.210423271468108
4400,-0.200662850821213,-0.203993338406293,-0.204436392895128,-0.205147935514884,-0.209162372517647
4500,-0.193719095462986,-0.201238721699738,-0.207466223425673,-0.203689258164419,-0.204465560219924
4600,-0.19883555790462,-0.203828993739229,-0.206099739485932,-0.208963660762024,-0.20239737220528
4700,-0.200546900559952,-0.202785690553555,-0.204259394828506,-0.204737922394415,-0.210122360611893
4800,-0.19770997712659,-0.203549036538907,-0.205285545737384,-0.205338355676597,-0.206754412267773
4900,-0.202924339353187,-0.204005093557261,-0.20192286453822,-0.207348373186944,-0.209313857492469
5000,-0.199772308739388,-0.198088005606236,-0.20647213828817,-0.206402714715068,-0.207564703861316
5100,-0.198283228062048,-0.199580441136825,-0.205869754936108,-0.205032635474571,-0.205960602712692
5200,-0.203446145439328,-0.201977722603009,-0.205024937703008,-0.207414253185635,-0.208851725042327
5300,-0.198667223236662,-0.205129622326535,-0.203468116983985,-0.207952145273025,-0.207747002283795
5400,-0.200185136966102,-0.201207366485652,-0.209195860364582,-0.206364515307531,-0.204514962428611
5500,-0.196481399283716,-0.201986552492146,-0.206218249075804,-0.204680248515214,-0.209705017552889
5600,-0.195582592614215,-0.201027210548902,-0.200503882659492,-0.207848981763574,-0.206183725104177
5700,-0.19764939776375,-0.20456615543137,-0.206889805978932,-0.206842106369829,-0.209293483478745
5800,-0.205313828850578,-0.201208923521376,-0.202611369332605,-0.208383016036011,-0.204052693160426
5900,-0.201340918674767,-0.202269246257156,-0.209929563796687,-0.208396559006035,-0.20573439266362
6000,-0.198637560465847,-0.204206699901955,-0.202599056121938,-0.204567314175826,-0.207535869031477
6100,-0.196665541985355,-0.200827531603135,-0.203884827490513,-0.205209232507351,-0.208144361349365
6200,-0.193919075870306,-0.201870401663184,-0.207567163260061,-0.202200428500345,-0.206395890285911
6300,-0.197403079581541,-0.201176940403549,-0.206345479547757,-0.206562282198915,-0.209454095639347
6400,-0.200746863857037,-0.20456453447951,-0.208017909962648,-0.206209495744723,-0.210283473363525
6500,-0.201866061056332,-0.204369683592958,-0.203049745646319,-0.202865985831166,-0.207784090991056
6600,-0.200975465512602,-0.204503739917298,-0.203861725087035,-0.208876616894236,-0.208492704732539
6700,-0.199156999680811,-0.201708433439867,-0.204779196384153,-0.206183431092805,-0.206269921918127
6800,-0.201555653285697,-0.20399366286383,-0.207536854186287,-0.207183598872248,-0.206568611529233
6900,-0.200340420263534,-0.203274924781532,-0.204469544654654,-0.206408079368131,-0.207280456394053
7000,-0.198317871891339,-0.202524326125077,-0.207495884881174,-0.205495042147438,-0.204952410373562
7100,-0.199885032509883,-0.205705196056141,-0.200353475348102,-0.203247398259716,-0.207185595722473
7200,-0.203298305439236,-0.201593210918199,-0.203602102107945,-0.207673937649547,-0.206172362953579
7300,-0.20410918164526,-0.205653290343698,-0.207484269335223,-0.206085018066215,-0.209464630312046
7400,-0.197898836310576,-0.208013877170226,-0.205358172092513,-0.209128564751006,-0.209013661476981
7500,-0.198080621907458,-0.203422431175262,-0.205409106023506,-0.20680023478004,-0.20640480807268
7600,-0.203626036806306,-0.204835630409345,-0.207254055827424,-0.208804661570818,-0.211367671850354
7700,-0.198437663739642,-0.206205444285752,-0.208775317815506,-0.209626045836975,-0.20707554465106
7800,-0.204301001030291,-0.204365079353364,-0.206508788224737,-0.209074619025239,-0.205185876523611
7900,-0.19869523066091,-0.206603145852325,-0.203363359716269,-0.20991466995499,-0.205118802803333
8000,-0.196433352088291,-0.203210304344466,-0.208669183159597,-0.208416438434913,-0.206499279721553
