Lkm,Dnu1G,Dnu100M,Dnu10M,Dnu1M,Dnu100k,Dnu10k,Dnu1k
10,0.0960986328587842,0.0636741877850193,0.0586862711552273,0.0576653892238293,0.0588068412047508,0.0579865390899532,0.0578368572024322
20,0.193708270751344,0.169024464664985,0.167466924591769,0.165131941725148,0.170152263654336,0.167964293355526,0.166552593735884
30,0.27964353344596,0.257545244575536,0.2576366763338,0.255793574481688,0.257220192033953,0.26068372117357,0.263104019473761
40,0.325247313187563,0.314914593713003,0.317971649364813,0.31923271975274,0.314293013644439,0.314165478526001,0.314141427201606
50,0.350466340769784,0.339751954878556,0.335098799779271,0.337139309144736,0.336220471084444,0.335245041295604,0.340398688497964
60,0.364792104736591,0.353341413445549,0.350836971331866,0.352839815922368,0.354003135979121,0.346456227903209,0.353393662311266
70,0.374098147779232,0.362158257784573,0.36764932268705,0.36308665550558,0.358980264478154,0.363571852791499,0.364591083615795
80,0.386413938697867,0.371913254391134,0.376290578041656,0.372420288183888,0.377342169249027,0.370872190628084,0.37293929499651
90,0.391294495450356,0.383787332289493,0.381007504181865,0.379654433151773,0.382703917965017,0.38196139514021,0.378977782337277
100,0.39147316237506,0.389584429304159,0.383772207134856,0.390208964374174,0.383658540890834,0.386400237774035,0.388433294166723
110,0.398900588384373,0.388309970462484,0.393812747267861,0.39132613503197,0.391005069360873,0.392847630161473,0.391814710968311
120,0.400776699469659,0.39090389044222,0.40015497835811,0.394356964455643,0.397144118468872,0.39639426196443,0.395589242073488
130,0.401776364091107,0.395760782532205,0.398328701333579,0.399475087105209,0.399220926440646,0.39954482936865,0.400014279813955
140,0.40286878063183,0.403051171711165,0.399714238365203,0.3945319144135,0.401170392302429,0.400895942955955,0.399479515536112
150,0.412003732018519,0.409545366921362,0.407112906045927,0.403571863392806,0.411208696775323,0.406169621267895,0.406324669038537
160,0.415305054933473,0.408868244739207,0.410100382892944,0.399757202640337,0.405823133208214,0.410498759246514,0.401093377098863
170,0.415938272610228,0.409366227878905,0.41228897654242,0.403238691942835,0.411427489325426,0.409094714718544,0.403021751715153
180,0.417141133380501,0.412038469920804,0.408800329147964,0.405683298242062,0.405403076177072,0.416062013868399,0.415025837249425
190,0.415743156754085,0.411616701942151,0.417467633581528,0.410301618213608,0.408096836088495,0.409992641776178,0.403581026921574
200,0.412883151362953,0.414763541364391,0.418020930103095,0.408457401221919,0.415304958021106,0.414390205587666,0.413205142134621
210,0.420376239013874,0.409851421509641,0.413489335103905,0.415122835087837,0.41175516714151,0.410754669063606,0.417286105172389
220,0.415769989342458,0.421217126118361,0.416189530053745,0.415972087832427,0.412532987065032,0.415285648721353,0.415386859230373
230,0.416942078980569,0.419629923580639,0.419478100621718,0.413895937602414,0.417479587559311,0.419731911849472,0.407863905177447
240,0.423017269449202,0.416845642292355,0.417188386732609,0.419364361333024,0.414491851031213,0.416441569488228,0.415069799869205
250,0.418855350898883,0.412577462907948,0.419834161467911,0.419694082218131,0.413386382127936,0.421352910947327,0.412143309162179
260,0.422159917995597,0.420903037154234,0.419727353512591,0.423339052956999,0.41861707828667,0.420868977062002,0.41758704018518
270,0.424325453912673,0.413645590389938,0.420485547662631,0.415185566086752,0.417400966523089,0.416355541432856,0.415320102686232
280,0.424000276803858,0.424673996832287,0.41852162003532,0.425459271577252,0.421328410950306,0.417484309515343,0.424370100409838
290,0.420231619860518,0.418075770787179,0.41904462333259,0.418321413109128,0.422414196538905,0.416773485831641,0.425165726679559
300,0.417377336993396,0.422441813886681,0.428133897184374,0.42363664072098,0.426414998006354,0.413304558447295,0.42403863549053
310,0.427749264869043,0.417496223600215,0.42122525641779,0.418909456430865,0.42026678342528,0.425133873109743,0.413950627891368
