Lkm,qpsk,qam16,qam64
10,0.00101406849117764,0.000236097106021576,0.000291675344391977
11,0.00121972073175509,0.000400600880708601,0.000622672428946525
12,0.00195444720712697,0.000742198246096106,0.000938279154133404
13,0.00197462619710884,0.000775021289529965,0.000483163059053573
14,0.00217862863994005,0.00108562928164158,0.000667575967391285
15,0.00239656750971622,0.00129244842113579,0.00119593026550228
16,0.00253732275799326,0.00132812926361855,0.000744663949470026
17,0.00330697524448352,0.00134052685437771,0.00147129564519003
18,0.00372954411484853,0.00153731668680802,0.00226473975504696
19,0.00382682767265969,0.0019177245866362,0.00199833799503444
20,0.0046627408514355,0.00218643716785281,0.00158414817209923
21,0.00487582888772549,0.00282511301624115,0.00203705608707466
22,0.0051511196156354,0.0029164919813471,0.00196095401007512
23,0.00541046298035692,0.00255749262222293,0.00235145972128194
24,0.00640307574166058,0.00380192260949114,0.002126250979765
25,0.00677854600234376,0.00358872275797621,0.00340062388540701
26,0.0078599831615206,0.004902263675803,0.00285495690341463
27,0.00862774118875808,0.00389864576635883,0.00416561613587881
28,0.00888831352035456,0.0045697624775752,0.00473979820892147
29,0.0102716763368309,0.00468874162844264,0.00457851046786545
30,0.0100126286232671,0.00504748894477109,0.00439548361891252
31,0.0115372586958144,0.00486318171964667,0.00495052860618016
32,0.0123398488316128,0.00601173585399589,0.0055920660148909
33,0.0120548841019319,0.00603356513167412,0.00506370117516677
34,0.0132235910253793,0.0073541271507295,0.0059432344823184
35,0.0138434014060547,0.007135913236998,0.00555564215614775
36,0.0140349035088162,0.00701075296726922,0.00606590070140147
37,0.0162703828028801,0.00747099039349876,0.00691683757494727
38,0.0168675397503171,0.00878721220630761,0.00836685103267389
39,0.0185039412899374,0.00961944124035838,0.00802911423531142
40,0.0193482023162485,0.00898336166184254,0.00847894722230173
41,0.0202032596211997,0.00966627986469616,0.00835015504726853
42,0.0212952269963174,0.00996803278482828,0.00868468688965163
43,0.0220348570652445,0.010311097048884,0.00829083306821705
44,0.0222611577531351,0.0115083394816904,0.00973757705067465
45,0.0225122753634054,0.0120987936697624,0.00974507599638574
46,0.0249293075794293,0.0127906538288934,0.0107079457360755
47,0.0256623908017965,0.0127636323569361,0.0102056879811385
48,0.025473406961668,0.0124447197627539,0.0123750805849823
49,0.0278416401047631,0.0153153228771678,0.0121809785817044
50,0.0286377131891144,0.0150166377305747,0.0128854247561469
51,0.0308415510153074,0.016328093128314,0.0125195918114731
52,0.0304179169199556,0.0152142631856928,0.013933734988684
53,0.0310985779777248,0.015387540215118,0.0152790907946045
54,0.0336630775106573,0.0166018155800297,0.0151860348245297
55,0.035050878534215,0.0180503065388766,0.0150264875912932
56,0.0348476333915942,0.0183249429112235,0.0138221278681793
57,0.0354211841636632,0.0177811013858119,0.0168283158363667
58,0.0388772888550917,0.0193513386241622,0.0181326842814676
59,0.0386229873058909,0.0209013845572417,0.0173370399681453
60,0.0411213249748231,0.0205265408831987,0.0183053285269251
61,0.042333940378589,0.0221962862945637,0.0199973929759194
62,0.0423302157874306,0.0219504702653377,0.0187692409587493
63,0.0422465595247258,0.0230366027655764,0.0234426180912642
64,0.0442303739710942,0.023683689983106,0.0206480663227071
65,0.0462468755074073,0.0240530999544439,0.0206534703606923
66,0.0479743798402594,0.0270960828531912,0.0215582868159525
67,0.0505954506225659,0.0262325568333749,0.0226274730043058
68,0.0505827752170888,0.027035338346523,0.0227512646151108
69,0.0519925714928229,0.0263566057816941,0.0245358238761242
70,0.054218328027661,0.0300576403770514,0.0252915067796026
71,0.0519451538217541,0.0274396502959739,0.0251706319712463
72,0.0553037163463531,0.0304156135580758,0.0244438530088532
73,0.0574089921038905,0.0289127327564271,0.0266071982360257
74,0.0611618702850025,0.0318033425162792,0.025020293144241
75,0.0606830458754287,0.0297291439071424,0.0280684835130404
76,0.0609545363976727,0.032736510107235,0.0290550244148986
77,0.0612702019166487,0.0331090980447053,0.0281724974745814
78,0.0632708954716594,0.0320623446374449,0.0301503920792232
79,0.065677046706186,0.0352583381425052,0.031422447567617
80,0.0672025559604093,0.0368461730914836,0.0317669142362568
81,0.0673772571396659,0.0348549701230704,0.0314088210929204
82,0.0695090791300192,0.0357796734229272,0.0329717441245015
83,0.0709580966495733,0.0363820630956875,0.0321448503766123
84,0.0720565562043935,0.0420598542413353,0.0332777286288086
85,0.0750981021141742,0.0414597395617351,0.0314681923411146
86,0.0752249183022019,0.0432600519590549,0.0362618953806874
87,0.0785170087685216,0.0415418254163184,0.0332552849175511
88,0.0775152822753545,0.0430296953599109,0.0352276053877195
89,0.0806064091027251,0.0432220509993856,0.037036271988416
90,0.0815692951623191,0.0448379803017207,0.0365691084488303
91,0.0830580888359763,0.0432007396957223,0.0426279943368334
92,0.0869166540003818,0.0458498474725555,0.0407748498560347
93,0.0859071735970005,0.0511433639387797,0.0402736349224594
94,0.0864108266774157,0.0478410855882433,0.0405685903493977
95,0.0900720796801915,0.0494554654335004,0.0417910206621758
96,0.0905365014702816,0.0501822443960674,0.044078291436107
97,0.092331591228672,0.050423812730723,0.0424712368236514
98,0.0927958141929015,0.0501852292770172,0.0445279532796037
99,0.0942236401445692,0.0483816961351298,0.0435168865554056
100,0.0967279615888135,0.0545126667173783,0.0470571472784566
125,0.133745510198127,0.0712473427636007,0.0653986271125949
150,0.171034806629522,0.0985109741261104,0.0859133371061236
175,0.206151932955131,0.120167220110935,0.103855439876167
200,0.239793376342686,0.130586509083818,0.123445551741515
225,0.259275808769695,0.157699330452733,0.136495682878569
250,0.287020544994016,0.160864901811091,0.146898262530366
