Lkm,L1000,L1100,L1200,L1300,L1400,L1500,L1600,L1700,L1800,L1900
100,-0.0620798516181351,-0.162567270951168,-0.189064209507931,-0.189022399345889,-0.194067354744113,-0.177087818636503,-0.19622093174145,-0.199347837593502,-0.183705042167694,-0.183625870212271
101,-0.062711472832593,-0.164705170783699,-0.184917531214693,-0.190748820654592,-0.191376480380247,-0.178796198215828,-0.19519551379965,-0.194557633244251,-0.183616836259957,-0.186025576600092
102,-0.0636096469751477,-0.16849049211388,-0.184276415313082,-0.189964457744913,-0.187865097561335,-0.181229940342373,-0.197040671670199,-0.187730153969049,-0.181309966354531,-0.186713051638778
103,-0.0650624592070654,-0.16840372940103,-0.181591142769699,-0.192628369908316,-0.186714498273368,-0.181441083190302,-0.192010858231794,-0.189383353618334,-0.184998590530162,-0.18487837739019
104,-0.0663967069284546,-0.171362411023918,-0.180748901138236,-0.199423300904278,-0.185585949051175,-0.183504256933216,-0.19249811100438,-0.185202331327687,-0.18131080111276,-0.191727551721354
105,-0.067236682154678,-0.173722426189757,-0.178206124974014,-0.196036522147431,-0.182612843112273,-0.181832883213431,-0.194979993762112,-0.187034505284122,-0.17999973241641,-0.193741099495369
106,-0.0684589011932764,-0.174574484096238,-0.174877899004742,-0.199929221235039,-0.187910369193638,-0.188498235958523,-0.197945700028707,-0.185137328120439,-0.184040026753406,-0.194753049702992
107,-0.0691910024709574,-0.177831420874416,-0.178559939420657,-0.19999788765977,-0.179483685319923,-0.18524157252843,-0.198045720247009,-0.179505435106199,-0.180705390557387,-0.194928873052219
108,-0.0710079902498728,-0.180083509397021,-0.172669628293924,-0.200162993326014,-0.182782942065097,-0.186698861457431,-0.194435623074023,-0.182835845478139,-0.185759499360768,-0.194623445911615
109,-0.0718771139945135,-0.180286963691107,-0.173196392444055,-0.199994895817785,-0.179579110688628,-0.189673036686763,-0.195165260153471,-0.182268368588934,-0.19078803817929,-0.194097109317848
110,-0.0729288396629935,-0.1827014957906,-0.170340067678769,-0.20140493415684,-0.177846030271391,-0.19135778684809,-0.195536137182815,-0.182499082588004,-0.189779465222313,-0.196922425742491
111,-0.0738853534789319,-0.18493894372178,-0.171726006690733,-0.202006562902012,-0.180327846088982,-0.193502204330403,-0.193779846318399,-0.181364538654473,-0.194785332522777,-0.197199407901408
112,-0.0757644052754884,-0.187952721001428,-0.168569424494625,-0.202417514649413,-0.172449950366779,-0.193196989119348,-0.189159502877931,-0.17740570536604,-0.188786693342319,-0.198292096432533
113,-0.0760933334708362,-0.189249944426557,-0.167474227844319,-0.202748467632596,-0.175079076717238,-0.194228139890795,-0.191125965979649,-0.180004547133713,-0.191546034615343,-0.194192007875483
114,-0.0775465535078444,-0.190938874584154,-0.16885410724782,-0.202027881861559,-0.175965134539056,-0.192751400147601,-0.188517627864616,-0.184404650600696,-0.193662893325092,-0.193270153844416
115,-0.0794462302377795,-0.192693905017644,-0.166860655251107,-0.201387392880347,-0.177450892555896,-0.194402574945418,-0.186488709821742,-0.180516043649619,-0.197394385844584,-0.194734433510186
116,-0.0803203861319773,-0.196119681751922,-0.1658687178581,-0.202984906460781,-0.178319692277069,-0.196130489343587,-0.184310059467495,-0.184953863243453,-0.194979570325628,-0.194592799058194
117,-0.0814337370005744,-0.196933850570182,-0.166988193344731,-0.202985980620197,-0.178661679948176,-0.199029993128145,-0.180252110958651,-0.187505213762882,-0.197781932427562,-0.191739645020078
118,-0.0833055044523329,-0.196613195396898,-0.166547430812633,-0.204082497635443,-0.178294054098309,-0.195522651930362,-0.182641022331721,-0.192130476159305,-0.193255277852022,-0.189225109533502
119,-0.0842207586900645,-0.197634523018628,-0.165898430272318,-0.200624809403865,-0.177029405243189,-0.199605544272498,-0.181203254610011,-0.187014045493283,-0.192753404427815,-0.188603304410656
120,-0.0858749521025376,-0.200887698592162,-0.169811699209577,-0.19996163426167,-0.17777350036512,-0.201685997585882,-0.178664376463717,-0.188977165599402,-0.197798822192533,-0.182462006262423
121,-0.0859372096655981,-0.202522556032867,-0.16673041969284,-0.199877052079903,-0.179414323670918,-0.195357508052868,-0.177759571031526,-0.191196610126475,-0.193416087016777,-0.185624604070027
