Lkm,L1000,L1100,L1200,L1300,L1400,L1500,L1600,L1700,L1800,L1900
147,-0.119824945201311,-0.232574888588232,-0.189457607521793,-0.175542899906829,-0.194643834522614,-0.187562176948123,-0.195593868241097,-0.183875435076161,-0.195144898106167,-0.191391766058773
148,-0.120063097044864,-0.231735280385304,-0.188524000264031,-0.174210650336246,-0.193277422434291,-0.18858793921041,-0.190646929455318,-0.185443050535241,-0.197622265470564,-0.188493974512083
149,-0.122105785703218,-0.233491971445579,-0.190795064334793,-0.175546357387236,-0.191893580837767,-0.188635477612502,-0.19305718066255,-0.188054696629326,-0.193167433231433,-0.190680204494171
150,-0.12335199860596,-0.231825505015208,-0.189258638907991,-0.179176100181646,-0.193691523944953,-0.189460290519185,-0.191459386739804,-0.188401106389146,-0.197366224800713,-0.187236083191067
151,-0.124248986956061,-0.231688027076765,-0.193188835800051,-0.178374858437968,-0.190959091635782,-0.188005861502222,-0.190492917014288,-0.190885045534946,-0.196060016901443,-0.184717367286099
152,-0.126298896978057,-0.232785914085066,-0.191958692828335,-0.174919646913092,-0.188589433128582,-0.190423350149398,-0.191171451517059,-0.190244798778167,-0.194339519518355,-0.18450350870644
153,-0.12734130492968,-0.232690525131235,-0.195311839959738,-0.17862424019673,-0.189379279510297,-0.189956357837112,-0.190392321960581,-0.19202535631647,-0.195260448484659,-0.18349170514477
154,-0.129379880699306,-0.232165675822127,-0.196470130096215,-0.177579783084653,-0.190559903943038,-0.194430811314071,-0.187989796265197,-0.189304768480533,-0.192264513816448,-0.187050837261281
155,-0.129412432914242,-0.233304436848564,-0.197451732446048,-0.177922869941153,-0.190376851784811,-0.191147767675292,-0.187856428578783,-0.192353105440373,-0.196036609798516,-0.187530625446855
156,-0.129554420812545,-0.234859106098955,-0.199504826919954,-0.181480341105694,-0.189856011189453,-0.194891020141183,-0.187989155123087,-0.191616848908531,-0.193307961603,-0.188817553067118
157,-0.132019711485319,-0.233968521188963,-0.198489983974777,-0.181351163695678,-0.184952391611545,-0.191100142426529,-0.184905179666846,-0.194206552470263,-0.189933066893642,-0.188076061169527
158,-0.13258977614397,-0.236046281468822,-0.197616823340511,-0.182489496148927,-0.189206239347111,-0.196715983497191,-0.185273242578874,-0.195075912968359,-0.192333753154114,-0.193233646030181
159,-0.133499977548108,-0.235410570758842,-0.200738669058707,-0.182888579656225,-0.184412834161257,-0.197209475923345,-0.181578624563385,-0.192943642856272,-0.189656793425217,-0.190740934253862
160,-0.136389315948535,-0.236840696329709,-0.201881693439449,-0.186090128784157,-0.182302071917721,-0.195273937194353,-0.185409819751352,-0.195386051365177,-0.187633123209417,-0.188305131331604
161,-0.137146414672527,-0.232800311374087,-0.202674749026363,-0.186792397485523,-0.184163343130456,-0.199531798766553,-0.181677732599022,-0.197690677756222,-0.186099223167141,-0.188651213411178
162,-0.139983056248277,-0.236796760803949,-0.200960824256774,-0.183357313762391,-0.182622965396448,-0.194602862751848,-0.18440191454289,-0.198651077009244,-0.189763595780319,-0.191868138432418
163,-0.140486572613511,-0.236325179334642,-0.20250292307704,-0.187705651872216,-0.176658011863985,-0.196059656296753,-0.185607488304067,-0.1946486270622,-0.187362495922239,-0.197639006231163
164,-0.141700781834033,-0.237273770567733,-0.200957030121754,-0.185302892460371,-0.182725022007544,-0.192671435554975,-0.183468849561132,-0.197642058846335,-0.186664364057387,-0.191155634871075
165,-0.143133753207939,-0.236152285118803,-0.202216240580732,-0.191570884718703,-0.18108407980112,-0.192770148739948,-0.186955308721463,-0.197228518138174,-0.183792852632792,-0.192545857438409
166,-0.144017131556798,-0.23629237074859,-0.202226663992237,-0.189517288953481,-0.181729372906353,-0.193924362050152,-0.181949034292173,-0.196646194479475,-0.185946897112828,-0.195604554310994
167,-0.145399190304642,-0.23386954626414,-0.202919083981195,-0.187560791562477,-0.177778880019629,-0.191631016587615,-0.190877794758114,-0.197956754329847,-0.185654936187613,-0.19567322559118
168,-0.147541592440525,-0.235315413594072,-0.204911200251207,-0.192031922600072,-0.184816521695343,-0.191185952124905,-0.187699031203689,-0.191649539131132,-0.185586794780929,-0.196947300802993
169,-0.147837050737629,-0.234909650470903,-0.205282966745626,-0.191315414914294,-0.183256721439389,-0.191025384850534,-0.188670531505575,-0.188926572830541,-0.185935082018195,-0.194940106403008
170,-0.148288728280732,-0.234210355569569,-0.208287899724129,-0.19425006814219,-0.1840717573901,-0.191355122462985,-0.1909245898157,-0.185838048032168,-0.186185498325808,-0.195705897561313
171,-0.150127742847948,-0.234313177262186,-0.204648017219266,-0.19609918895219,-0.179760814980813,-0.189169703049049,-0.190875781677911,-0.190670259256475,-0.193421259236619,-0.191980495601195
172,-0.151276259583109,-0.233836606997622,-0.202935625907343,-0.195752693605012,-0.185068172049875,-0.189147661007713,-0.194881356673354,-0.182779558576095,-0.18799208049175,-0.197840714965515
173,-0.152274098590174,-0.234245198145091,-0.200866185846971,-0.194442357824838,-0.187019347988237,-0.19081331967833,-0.195218342534987,-0.189113249149158,-0.193462475512838,-0.195043308690427
174,-0.153071155169826,-0.232369224846983,-0.204457145986223,-0.195875899824251,-0.186118794747381,-0.187346959349944,-0.196256185434512,-0.188514482911246,-0.194443380731789,-0.193976641944204
175,-0.155205837748931,-0.231994889182854,-0.203167844843503,-0.200654738787149,-0.186594367931289,-0.188541099567538,-0.196640860286179,-0.188068744813432,-0.195309692271418,-0.190481867840983
176,-0.155224459709418,-0.231672152947327,-0.201980372370097,-0.199460952321537,-0.184900249513137,-0.186839378329267,-0.19456955104077,-0.185672320161878,-0.195716781202366,-0.189586457977839
177,-0.157689446404035,-0.230845489706994,-0.200359575892487,-0.197789897120309,-0.188438748734147,-0.184284669983405,-0.199946612276286,-0.185414281080244,-0.19327585842879,-0.189910434497382
178,-0.158486599297967,-0.231516347860076,-0.198131979160614,-0.199985905307965,-0.190730811824561,-0.180664987001414,-0.196706899171585,-0.186477179692085,-0.195882722502509,-0.189341133564761
179,-0.158832077437004,-0.232724144637265,-0.198996106241169,-0.197531944422897,-0.19040926644256,-0.18484635638462,-0.194819538448353,-0.185786987177039,-0.197284530223913,-0.188113323252033
180,-0.161948126445066,-0.229555120283378,-0.19811480179492,-0.195512504709971,-0.18508923125292,-0.18401625877131,-0.19844106279685,-0.187619715218185,-0.195235758411894,-0.19309812921128
181,-0.160887639263946,-0.230659337400673,-0.198233292392736,-0.199013527941396,-0.194939471999066,-0.185359159413821,-0.195924373091228,-0.187209564868026,-0.196963036157824,-0.188838208645431
182,-0.162901186150103,-0.226055629731792,-0.197368715612,-0.195668671715265,-0.19228895395387,-0.183914954373392,-0.195683274308576,-0.188089973946773,-0.19486174842008,-0.189167319680947
183,-0.165536857388615,-0.228782848143253,-0.198917325196443,-0.195188600273814,-0.196492020170975,-0.185263956968509,-0.193747681880236,-0.188314363042382,-0.196666536534604,-0.191187483949824
184,-0.166680749471687,-0.225947751028927,-0.194278006391491,-0.195268665260107,-0.194734985400259,-0.186751736189116,-0.19311595297698,-0.191174622376552,-0.195036620230105,-0.188813753364056
185,-0.165703362912955,-0.227453638322899,-0.196574800049443,-0.193735223972072,-0.196409169350847,-0.184598039857361,-0.193117102308762,-0.189341017129304,-0.195113593681142,-0.190676195558534
186,-0.168038597392797,-0.225194411845371,-0.197868842890709,-0.19193766336999,-0.192163692257805,-0.183680219414155,-0.191950365549518,-0.189177909980644,-0.192301211087579,-0.186867839464538
187,-0.168375954667186,-0.223147428521525,-0.193506945504843,-0.194840987190358,-0.196901217152269,-0.184230625442981,-0.19148476712266,-0.193730718499208,-0.193285226247966,-0.191042288511339
188,-0.171010580101103,-0.225275312421345,-0.196180791485252,-0.194154715814782,-0.194019824615363,-0.188818196929577,-0.194728717033299,-0.191757650323921,-0.194615243458311,-0.189451692375488
189,-0.172397921636389,-0.221987650683259,-0.19099358709824,-0.192142918095921,-0.196503991216637,-0.189669797700889,-0.188433949465659,-0.194873491602206,-0.189787285021917,-0.18680233813605
190,-0.172137162454921,-0.222647068969514,-0.193327552145858,-0.19447486377357,-0.19416979310374,-0.187410843485704,-0.189153202392243,-0.194581678361038,-0.189034528855181,-0.192694885783629
191,-0.172815529315539,-0.220962622558574,-0.193158784829762,-0.192005932046315,-0.195892994490395,-0.18892480098355,-0.187180260652756,-0.192710743053869,-0.191620427914461,-0.192429887031897
192,-0.1740060521591,-0.22247814720627,-0.194612575158639,-0.193340137620758,-0.197183902056641,-0.190866640207987,-0.190730478796649,-0.195731041648913,-0.185080614928793,-0.199118068348706
193,-0.175996593248859,-0.222850765984911,-0.188159336185602,-0.191656926867803,-0.1949450639114,-0.189485602452351,-0.189687417663014,-0.198706827070775,-0.187665845524997,-0.201677464807396
194,-0.177931588919414,-0.217444835583107,-0.188527830396959,-0.188038970304617,-0.196746478703994,-0.192710349094045,-0.186029699496514,-0.195388031447228,-0.18874975213472,-0.197514256212586
195,-0.176607504313878,-0.217208304006832,-0.182687525152764,-0.192206120279057,-0.193749363995312,-0.192637120356956,-0.184642020713552,-0.197465254341936,-0.186286361201687,-0.194439996627531
196,-0.179055106559171,-0.216785905966408,-0.187844774472871,-0.190739121839192,-0.194888224365686,-0.191447725269774,-0.185876423085449,-0.198563495673179,-0.187853195229212,-0.196384828608299
197,-0.179844869507168,-0.217060423436573,-0.183678122475694,-0.189478047090722,-0.194421873358629,-0.194230093351021,-0.185209714853154,-0.194982935789344,-0.186497608952052,-0.19947329122716
198,-0.180740502311508,-0.217856697975373,-0.182218117330163,-0.190697311073507,-0.191570551828284,-0.19403591798834,-0.185294294311651,-0.194853025325546,-0.187572619130174,-0.195864411640989
199,-0.182564819321745,-0.214798975943207,-0.180114477239566,-0.185838928778651,-0.196549283404791,-0.195824219740085,-0.186019172458533,-0.195561956881348,-0.191614242853643,-0.193468399063316
200,-0.182286205239698,-0.214537103703377,-0.181856487268633,-0.185687238014155,-0.195342471464429,-0.196920962554479,-0.189509230694256,-0.194919013293708,-0.190402427216395,-0.195922334969311
