N,a
5,0.16976697669767
10,0.088058805880588
15,0.0598559855985599
20,0.0458545854585458
25,0.0374537453745375
30,0.0318531853185319
35,0.027952795279528
40,0.0249524952495249
45,0.0226522652265226
50,0.0207520752075208
55,0.0192519251925193
60,0.0179517951795179
65,0.016951695169517
70,0.0160516051605161
75,0.0152515251525153
80,0.0145514551455146
85,0.0139513951395139
90,0.0133513351335134
95,0.0128512851285129
100,0.0124512451245125
105,0.0120512051205121
109,0.0117511751175118
114,0.0114511451145114
119,0.0111511151115111
124,0.0108510851085108
129,0.0105510551055106
134,0.0103510351035103
139,0.0101510151015102
144,0.0098509850985099
149,0.00975097509750977
154,0.00955095509550952
159,0.00935093509350937
164,0.00915091509150912
169,0.0090509050905091
174,0.00895089508950897
179,0.00875087508750871
184,0.0086508650865087
189,0.00855085508550857
194,0.00845084508450844
199,0.00835083508350831
204,0.00815081508150817
209,0.00815081508150817
214,0.00805080508050804
219,0.00795079507950791
224,0.00785078507850789
229,0.00775077507750777
234,0.00765076507650764
239,0.00765076507650764
244,0.00755075507550751
249,0.00745074507450749
254,0.00735073507350736
259,0.00735073507350736
264,0.00725072507250724
269,0.00725072507250724
274,0.00715071507150711
279,0.00715071507150711
284,0.00705070507050709
289,0.00705070507050709
294,0.00695069506950696
299,0.00695069506950696
304,0.00685068506850683
309,0.00685068506850683
313,0.00675067506750671
318,0.00675067506750671
323,0.00665066506650669
328,0.00665066506650669
333,0.00665066506650669
338,0.00655065506550656
343,0.00655065506550656
348,0.00655065506550656
353,0.00645064506450643
358,0.00645064506450643
363,0.00645064506450643
368,0.0063506350635063
373,0.0063506350635063
378,0.0063506350635063
383,0.00625062506250629
388,0.00625062506250629
393,0.00625062506250629
398,0.00625062506250629
403,0.00615061506150616
408,0.00615061506150616
413,0.00615061506150616
418,0.00615061506150616
423,0.00605060506050603
428,0.00605060506050603
433,0.00605060506050603
438,0.00605060506050603
443,0.00605060506050603
448,0.0059505950595059
453,0.0059505950595059
458,0.0059505950595059
463,0.0059505950595059
468,0.0059505950595059
473,0.00585058505850589
478,0.00585058505850589
483,0.00585058505850589
488,0.00585058505850589
493,0.00585058505850589
498,0.00575057505750576
503,0.00575057505750576
508,0.00575057505750576
513,0.00575057505750576
517,0.00575057505750576
522,0.00575057505750576
527,0.00575057505750576
532,0.00565056505650563
537,0.00565056505650563
542,0.00565056505650563
547,0.00565056505650563
552,0.00565056505650563
557,0.00565056505650563
562,0.00565056505650563
567,0.0055505550555055
572,0.0055505550555055
577,0.0055505550555055
582,0.0055505550555055
587,0.0055505550555055
592,0.0055505550555055
597,0.0055505550555055
602,0.0055505550555055
607,0.00545054505450548
612,0.00545054505450548
617,0.00545054505450548
622,0.00545054505450548
627,0.00545054505450548
632,0.00545054505450548
637,0.00545054505450548
642,0.00545054505450548
647,0.00545054505450548
652,0.00545054505450548
657,0.00535053505350536
662,0.00535053505350536
667,0.00535053505350536
672,0.00535053505350536
677,0.00535053505350536
682,0.00535053505350536
687,0.00535053505350536
692,0.00535053505350536
697,0.00535053505350536
702,0.00535053505350536
707,0.00535053505350536
712,0.00525052505250523
716,0.00525052505250523
721,0.00525052505250523
726,0.00525052505250523
731,0.00525052505250523
736,0.00525052505250523
741,0.00525052505250523
746,0.00525052505250523
751,0.00525052505250523
756,0.00525052505250523
761,0.00525052505250523
766,0.00525052505250523
771,0.00525052505250523
776,0.0051505150515051
781,0.0051505150515051
786,0.0051505150515051
791,0.0051505150515051
796,0.0051505150515051
801,0.0051505150515051
806,0.0051505150515051
811,0.0051505150515051
816,0.0051505150515051
821,0.0051505150515051
826,0.0051505150515051
831,0.0051505150515051
836,0.0051505150515051
841,0.0051505150515051
846,0.0051505150515051
851,0.0051505150515051
856,0.00505050505050508
861,0.00505050505050508
866,0.00505050505050508
871,0.00505050505050508
876,0.00505050505050508
881,0.00505050505050508
886,0.00505050505050508
891,0.00505050505050508
896,0.00505050505050508
901,0.00505050505050508
906,0.00505050505050508
911,0.00505050505050508
916,0.00505050505050508
920,0.00505050505050508
925,0.00505050505050508
930,0.00505050505050508
935,0.00505050505050508
940,0.00505050505050508
945,0.00505050505050508
950,0.00505050505050508
955,0.00495049504950495
960,0.00495049504950495
965,0.00495049504950495
970,0.00495049504950495
975,0.00495049504950495
980,0.00495049504950495
985,0.00495049504950495
990,0.00495049504950495
995,0.00495049504950495
