Lkm,pd340,pd680,pd1020,pd1360,pd1700,pd3400,pd5100
0.1,0.129353070509689,0.280618043504535,0.334822380335035,0.357831670818712,0.372310142978301,0.401327646187757,0.412696225146273
0.2,0.130090440038749,0.279502510857291,0.334699383666482,0.354495493297616,0.372520661014006,0.402934184579277,0.412648030035053
0.3,0.131542053018651,0.28187894372584,0.331895306950429,0.35442190024004,0.369963764211592,0.401128829203356,0.410319415191756
0.4,0.132530190810386,0.281251732279756,0.333363630341328,0.355277318389272,0.370108658733491,0.401546033229812,0.409391690172979
0.5,0.132188241075547,0.28209052729146,0.33361570898827,0.35804419355798,0.373395268635522,0.40442800589294,0.40948686474741
0.6,0.135220736636806,0.28099163651732,0.335078149488864,0.358047267327131,0.372486198112665,0.401425624363325,0.412857751926846
0.7,0.135992504838617,0.282966071896116,0.336115045984661,0.355629840815679,0.37379721185357,0.401551636784304,0.41089127104401
0.8,0.135286600665489,0.285195077895564,0.334527151860073,0.355833567847027,0.371917636089548,0.402910113622897,0.410097522840663
0.9,0.137997042296472,0.283641077808021,0.335777652284138,0.356044659240656,0.374010671533977,0.400903014333678,0.411007292269814
1,0.138389816753545,0.28458238554893,0.333849911696351,0.357295009780677,0.371054630644181,0.401563895521084,0.410587998005138
