Lkm,pd340,pd680,pd1020,pd1360,pd1700,pd3400,pd5100
10,0.229021820084531,0.319446235544896,0.347433563708539,0.36756873086541,0.378925600635811,0.401691867129852,0.410069575586969
20,0.293437831895804,0.33916408830141,0.359354837676917,0.374151069480091,0.383257070060959,0.402652749139815,0.411838912538915
30,0.32837115891719,0.350665693555112,0.368182222724917,0.37807181895992,0.387025029005011,0.406521288015677,0.411812890884971
40,0.3418315785188,0.363532094896745,0.375394621300645,0.383521359489579,0.392145821413918,0.403669378110857,0.412229617592868
50,0.35468999435652,0.372380099860303,0.380287568850366,0.389932236775561,0.394138837599585,0.411533648618229,0.414521567397582
60,0.3658660073789,0.376591145363005,0.383676421728308,0.389968108074721,0.394418436499873,0.406491893882041,0.415444364916319
70,0.373285991775032,0.381887771416176,0.389642861500842,0.392378877789665,0.397411969939014,0.410129042038972,0.414832619472098
80,0.37900913292888,0.385721159649128,0.393033948727034,0.396813000776751,0.399545898737749,0.413684777548145,0.415358690712791
90,0.386670466905638,0.392461131607056,0.393653451768462,0.397448167115898,0.401193730965673,0.412278602291462,0.415054374123739
100,0.386540731008677,0.394623393328763,0.398839434500616,0.402015122324274,0.403121234813002,0.412152272257298,0.415665103910143
110,0.389285294196392,0.393910448581713,0.398227246383747,0.404197918490707,0.40444961084794,0.413847791717218,0.417142673545146
120,0.391652536555413,0.398229272592068,0.401849089876649,0.403573261860193,0.408070525338219,0.41315788275421,0.416724370705029
130,0.394627637163203,0.401746542874957,0.402775678603732,0.404776104237305,0.408045445717988,0.413022921928023,0.41549551461538
140,0.397516492145656,0.401926610695109,0.404039167792476,0.409037280542189,0.409062105355799,0.414341087163301,0.418030958976192
150,0.400626878841508,0.401626155629664,0.405652266430527,0.408810008882685,0.410016408735956,0.417987212074604,0.41630680616125
160,0.401935120078725,0.404500609427926,0.406731485459464,0.409356257281176,0.410683278649903,0.415990110012071,0.420474516371803
170,0.402902467881051,0.404756792980482,0.408675521014928,0.411002834439863,0.410611497884747,0.416520975573344,0.418505655108592
180,0.40662619577295,0.408484747256904,0.40984204876126,0.410191916986457,0.410904768042942,0.415039774998505,0.418984491683009
190,0.408339950566945,0.408041435120891,0.410066473720854,0.410084953038686,0.412637189966547,0.416700764459923,0.419366498801917
200,0.407885048916162,0.409717345584377,0.410529959494494,0.412560626311853,0.412881490066754,0.415920147509095,0.419578076633206
210,0.40973778951645,0.410184685617194,0.411621333307689,0.412922497492138,0.414271424991592,0.417177836150534,0.4190705970838
220,0.408884068866029,0.411108139171713,0.412086932235092,0.413077906421229,0.413146244664812,0.417108242781465,0.417499726127235
230,0.410973893513447,0.4121054015289,0.413964713286349,0.412446851402111,0.414345217742355,0.416367476390652,0.419337990485995
240,0.411466726446542,0.409248915876877,0.41225680296136,0.414414673984147,0.414891036817815,0.419156588050586,0.42087536890044
250,0.409579261463267,0.413289454338529,0.411684984116925,0.413043721109327,0.416890651614374,0.417113388274288,0.421883720535652
260,0.410502197631843,0.415045009330947,0.416252004650754,0.413849144756081,0.416365806131966,0.418494732446816,0.421303051780292
270,0.410382917009804,0.411789412622345,0.415855450986748,0.416070846778999,0.419373979457033,0.420112762673861,0.419805556280145
280,0.415279980009481,0.411992152646415,0.416940517956324,0.416636210674367,0.415471320042811,0.419912501094917,0.418488329910707
290,0.416044656829879,0.415006849762185,0.416467663260377,0.413776594439676,0.416478181376867,0.419831696379501,0.420689836383363
300,0.414197624409912,0.415550719943136,0.416440073074816,0.418025827104681,0.41885116670665,0.419229150742286,0.421907873884359
310,0.416210755300635,0.415451302080252,0.416707472592248,0.418739653745363,0.417711203607554,0.419635770714885,0.42197509258674
320,0.414949958585709,0.417722705420372,0.417125017744604,0.418716823547764,0.417794441513957,0.419285096774851,0.423619169009692
330,0.415533051957607,0.416322440770976,0.41485001408377,0.417146418611208,0.41789082414908,0.421013713531695,0.42069982404088
